-4.320073E0	-1.763677E1
-4.371665E0	-1.689015E1
-4.429120E0	-1.613153E1
-4.467712E0	-1.530143E1
-4.519054E0	-1.462358E1
-4.568689E0	-1.384498E1
-4.626920E0	-1.300173E1
-4.682609E0	-1.227138E1
-4.705224E0	-1.153633E1
-4.734403E0	-1.079322E1
-4.789118E0	-1.013739E1
-4.850087E0	-9.372651E0
-4.899780E0	-8.641016E0
-4.944627E0	-7.999583E0
-4.992384E0	-7.211672E0
-5.051878E0	-6.493657E0
-5.100900E0	-5.810528E0
-5.136883E0	-5.058149E0
-5.171548E0	-4.404318E0
-5.220814E0	-3.636994E0
-5.239904E0	-2.939727E0
-5.275925E0	-2.236898E0
-5.279155E0	-1.410662E0
-5.205782E0	-6.415927E-1
-5.106330E0	6.166376E-2
-4.874136E0	8.479020E-1
-4.573342E0	1.567846E0
-4.185744E0	2.228205E0
-3.550367E0	2.902922E0
-2.942403E0	3.418629E0
-2.214814E0	3.854246E0
-1.317562E0	4.196692E0
-5.859259E-1	4.387280E0
2.582745E-1	4.524587E0
1.024381E0	4.543080E0
1.722462E0	4.473582E0
2.400640E0	4.388254E0
3.068332E0	4.273545E0
3.671182E0	4.147309E0
4.251669E0	3.999440E0
4.829761E0	3.834526E0
5.361211E0	3.649406E0
5.849635E0	3.465059E0
6.442442E0	3.274066E0
6.917148E0	3.097603E0
7.415556E0	2.930593E0
8.017705E0	2.735430E0
8.500682E0	2.586898E0
8.994063E0	2.414614E0
9.573007E0	2.197432E0
1.006476E1	2.028926E0
1.056695E1	1.854202E0
1.109243E1	1.666411E0
1.160824E1	1.483982E0
1.208030E1	1.327119E0
1.259471E1	1.126116E0
1.311113E1	9.521507E-1
