
4.690865E0,-1.901342E1
4.722875E0,-1.841653E1
4.691613E0,-1.791458E1
4.713376E0,-1.729295E1
4.696494E0,-1.677203E1
4.704120E0,-1.619429E1
4.704091E0,-1.559549E1
4.696483E0,-1.505791E1
4.690114E0,-1.450635E1
4.682111E0,-1.390290E1
4.685883E0,-1.339616E1
4.681430E0,-1.283011E1
4.686342E0,-1.223496E1
4.676693E0,-1.172890E1
4.668546E0,-1.116267E1
4.665934E0,-1.059666E1
4.658225E0,-1.008784E1
4.644717E0,-9.522498E0
4.638965E0,-8.986148E0
4.624008E0,-8.513342E0
4.622143E0,-7.963878E0
4.623533E0,-7.472821E0
4.628157E0,-7.003371E0
4.638906E0,-6.466830E0
4.652774E0,-5.987211E0
4.659144E0,-5.526076E0
4.699075E0,-5.031375E0
4.730442E0,-4.621168E0
4.795007E0,-4.174211E0
4.877554E0,-3.729383E0
4.988766E0,-3.361338E0
5.140806E0,-2.985802E0
5.340335E0,-2.629439E0
5.565727E0,-2.322048E0
5.858256E0,-1.987762E0
6.182991E0,-1.641589E0
6.484776E0,-1.343230E0
6.841997E0,-1.009411E0
7.214476E0,-6.934508E-1
7.542170E0,-3.984874E-1
7.910688E0,-7.398333E-2
8.313675E0,2.521088E-1
8.655034E0,5.329553E-1
9.057966E0,8.817436E-1
9.441619E0,1.198827E0
9.775887E0,1.490414E0
1.020495E1,1.832807E0
1.056934E1,2.138671E0
1.092506E1,2.440193E0
1.134350E1,2.796213E0
1.172052E1,3.090914E0
1.206172E1,3.406290E0
1.246003E1,3.731022E0
