-4.323307E0	-1.800280E1
-4.356219E0	-1.751405E1
-4.386814E0	-1.704305E1
-4.430167E0	-1.659460E1
-4.454357E0	-1.606126E1
-4.490748E0	-1.563805E1
-4.520790E0	-1.514169E1
-4.564651E0	-1.466811E1
-4.569477E0	-1.422537E1
-4.625175E0	-1.374617E1
-4.648336E0	-1.329629E1
-4.697181E0	-1.287403E1
-4.719217E0	-1.244090E1
-4.769302E0	-1.201485E1
-4.800652E0	-1.164030E1
-4.850430E0	-1.119986E1
-4.910134E0	-1.077509E1
-4.933971E0	-1.041414E1
-4.995117E0	-9.987178E0
-5.022002E0	-9.603627E0
-5.061695E0	-9.218388E0
-5.123319E0	-8.790768E0
-5.160644E0	-8.425198E0
-5.209977E0	-8.026041E0
-5.250513E0	-7.608155E0
-5.284986E0	-7.199473E0
-5.315744E0	-6.820187E0
-5.368556E0	-6.396750E0
-5.388176E0	-6.006794E0
-5.437800E0	-5.606601E0
-5.457922E0	-5.159037E0
-5.481647E0	-4.774546E0
-5.515707E0	-4.334580E0
-5.522031E0	-3.895686E0
-5.534889E0	-3.496238E0
-5.512529E0	-3.030558E0
-5.490078E0	-2.566627E0
-5.440716E0	-2.132970E0
-5.349713E0	-1.623121E0
-5.218180E0	-1.087322E0
-5.061880E0	-6.311314E-1
-4.804362E0	-1.003001E-1
-4.490953E0	3.975108E-1
-4.157160E0	8.425381E-1
-3.659265E0	1.337142E0
-3.105699E0	1.681632E0
-2.426401E0	1.911377E0
-1.492025E0	1.917886E0
-5.794875E-1	1.510978E0
-4.941417E-2	9.371834E-1
3.324056E-1	1.357460E-1
4.224990E-1	-6.178862E-1
3.129325E-1	-1.166368E0
5.671574E-2	-1.625309E0
-2.927983E-1	-1.940082E0
-6.484592E-1	-2.069616E0
-1.085421E0	-2.093821E0
-1.541090E0	-1.988136E0
-1.926262E0	-1.769933E0
-2.318519E0	-1.401441E0
-2.627619E0	-9.373581E-1
-2.842004E0	-3.953304E-1
-2.813622E0	3.300067E-1
-2.306100E0	9.388281E-1
-1.594649E0	1.087127E0
-8.302018E-1	5.490723E-1
-3.741188E-1	-5.639955E-2
-2.894805E-1	-5.715020E-1
-4.070271E-1	-1.024412E0
-6.841995E-1	-1.338487E0
-1.026334E0	-1.464253E0
-1.470293E0	-1.467534E0
-1.996597E0	-1.267331E0
-2.335819E0	-1.011886E0
-2.689656E0	-4.591407E-1
-2.758918E0	1.733335E-1
-2.439129E0	7.639591E-1
-1.601514E0	9.963538E-1
-1.001046E0	4.956166E-1
-6.826267E-1	-1.243737E-1
-7.423850E-1	-5.784653E-1
-9.807905E-1	-9.978017E-1
-1.350887E0	-1.119969E0
-1.836542E0	-1.086837E0
-2.291732E0	-8.451101E-1
-2.595922E0	-4.750281E-1
-2.674014E0	1.385248E-1
-2.236406E0	6.309245E-1
