Tiempo ( s )	Fuerza (empuje positivo) ( N )
12,4010	-0,725
12,4020	-0,696
12,4030	-0,725
12,4040	-0,725
12,4050	-0,725
12,4060	-0,725
12,4070	-0,696
12,4080	-0,696
12,4090	-0,696
12,4100	-0,725
12,4110	-0,696
12,4120	-0,725
12,4130	-0,696
12,4140	-0,696
12,4150	-0,696
12,4160	-0,696
12,4170	-0,696
12,4180	-0,696
12,4190	-0,696
12,4200	-0,696
12,4210	-0,696
12,4220	-0,696
12,4230	-0,696
12,4240	-0,696
12,4250	-0,696
12,4260	-0,667
12,4270	-0,696
12,4280	-0,696
12,4290	-0,667
12,4300	-0,667
12,4310	-0,667
12,4320	-0,638
12,4330	-0,638
12,4340	-0,638
12,4350	-0,638
12,4360	-0,609
12,4370	-0,638
12,4380	-0,609
12,4390	-0,609
12,4400	-0,609
12,4410	-0,609
12,4420	-0,609
12,4430	-0,609
12,4440	-0,580
12,4450	-0,580
12,4460	-0,580
12,4470	-0,580
12,4480	-0,580
12,4490	-0,551
12,4500	-0,551
12,4510	-0,551
12,4520	-0,551
12,4530	-0,522
12,4540	-0,522
12,4550	-0,522
12,4560	-0,522
12,4570	-0,522
12,4580	-0,493
12,4590	-0,493
12,4600	-0,493
12,4610	-0,464
12,4620	-0,464
12,4630	-0,464
12,4640	-0,464
12,4650	-0,464
12,4660	-0,435
12,4670	-0,435
12,4680	-0,435
12,4690	-0,406
12,4700	-0,406
12,4710	-0,406
12,4720	-0,406
12,4730	-0,377
12,4740	-0,377
12,4750	-0,377
12,4760	-0,348
12,4770	-0,319
12,4780	-0,319
12,4790	-0,319
12,4800	-0,319
12,4810	-0,290
12,4820	-0,290
12,4830	-0,290
12,4840	-0,261
12,4850	-0,261
12,4860	-0,261
12,4870	-0,232
12,4880	-0,232
12,4890	-0,232
12,4900	-0,232
12,4910	-0,203
12,4920	-0,203
12,4930	-0,203
12,4940	-0,203
12,4950	-0,174
12,4960	-0,174
12,4970	-0,174
12,4980	-0,145
12,4990	-0,145
12,5000	-0,116
12,5010	-0,116
12,5020	-0,087
12,5030	-0,087
12,5040	-0,087
12,5050	-0,058
12,5060	-0,058
12,5070	-0,029
12,5080	-0,029
12,5090	-0,029
12,5100	-0,029
12,5110	0,000
12,5120	0,000
12,5130	0,000
12,5140	0,029
12,5150	0,029
12,5160	0,029
12,5170	0,058
12,5180	0,058
12,5190	0,087
12,5200	0,087
12,5210	0,087
12,5220	0,116
12,5230	0,116
12,5240	0,116
12,5250	0,145
12,5260	0,145
12,5270	0,145
12,5280	0,145
12,5290	0,174
12,5300	0,203
12,5310	0,203
12,5320	0,203
12,5330	0,203
12,5340	0,232
12,5350	0,232
12,5360	0,232
12,5370	0,261
12,5380	0,261
12,5390	0,261
12,5400	0,261
12,5410	0,290
12,5420	0,290
12,5430	0,319
12,5440	0,319
12,5450	0,319
12,5460	0,348
12,5470	0,348
12,5480	0,377
12,5490	0,348
12,5500	0,377
12,5510	0,377
12,5520	0,377
12,5530	0,377
12,5540	0,406
12,5550	0,406
12,5560	0,406
12,5570	0,435
12,5580	0,435
12,5590	0,435
12,5600	0,435
12,5610	0,464
12,5620	0,464
12,5630	0,464
12,5640	0,464
12,5650	0,464
12,5660	0,493
12,5670	0,493
12,5680	0,522
12,5690	0,493
12,5700	0,493
12,5710	0,522
12,5720	0,522
12,5730	0,551
12,5740	0,551
12,5750	0,551
12,5760	0,551
12,5770	0,551
12,5780	0,580
12,5790	0,551
12,5800	0,580
12,5810	0,580
12,5820	0,580
12,5830	0,580
12,5840	0,580
12,5850	0,609
12,5860	0,609
12,5870	0,609
12,5880	0,609
12,5890	0,609
12,5900	0,638
12,5910	0,609
12,5920	0,609
12,5930	0,638
12,5940	0,638
12,5950	0,638
12,5960	0,638
12,5970	0,638
12,5980	0,638
12,5990	0,638
12,6000	0,638
12,6010	0,638
12,6020	0,638
12,6030	0,638
12,6040	0,638
12,6050	0,638
12,6060	0,638
12,6070	0,638
12,6080	0,638
12,6090	0,667
12,6100	0,638
12,6110	0,638
12,6120	0,638
12,6130	0,667
12,6140	0,638
12,6150	0,638
12,6160	0,667
12,6170	0,667
12,6180	0,638
12,6190	0,638
12,6200	0,667
12,6210	0,667
12,6220	0,667
12,6230	0,667
12,6240	0,667
12,6250	0,667
12,6260	0,638
12,6270	0,638
12,6280	0,638
12,6290	0,638
12,6300	0,638
12,6310	0,638
12,6320	0,638
12,6330	0,609
12,6340	0,638
12,6350	0,609
12,6360	0,609
12,6370	0,638
12,6380	0,609
12,6390	0,609
12,6400	0,609
12,6410	0,609
12,6420	0,609
12,6430	0,609
12,6440	0,609
12,6450	0,580
12,6460	0,580
12,6470	0,580
12,6480	0,551
12,6490	0,580
12,6500	0,551
12,6510	0,551
12,6520	0,551
12,6530	0,551
12,6540	0,551
12,6550	0,551
12,6560	0,522
12,6570	0,522
12,6580	0,522
12,6590	0,522
12,6600	0,522
12,6610	0,522
12,6620	0,493
12,6630	0,493
12,6640	0,493
12,6650	0,464
12,6660	0,464
12,6670	0,464
12,6680	0,464
12,6690	0,435
12,6700	0,435
12,6710	0,435
12,6720	0,435
12,6730	0,406
12,6740	0,406
12,6750	0,406
12,6760	0,377
12,6770	0,377
12,6780	0,377
12,6790	0,377
12,6800	0,348
12,6810	0,348
12,6820	0,348
12,6830	0,319
12,6840	0,319
12,6850	0,319
12,6860	0,319
12,6870	0,290
12,6880	0,290
12,6890	0,290
12,6900	0,261
12,6910	0,261
12,6920	0,261
12,6930	0,232
12,6940	0,232
12,6950	0,232
12,6960	0,203
12,6970	0,203
12,6980	0,203
12,6990	0,203
12,7000	0,174
12,7010	0,174
12,7020	0,174
12,7030	0,145
12,7040	0,145
12,7050	0,116
12,7060	0,116
12,7070	0,087
12,7080	0,116
12,7090	0,087
12,7100	0,116
12,7110	0,087
12,7120	0,058
12,7130	0,058
12,7140	0,029
12,7150	0,029
12,7160	0,029
12,7170	0,000
12,7180	0,000
12,7190	0,000
12,7200	-0,029
12,7210	-0,029
12,7220	-0,058
12,7230	-0,058
12,7240	-0,058
12,7250	-0,058
12,7260	-0,087
12,7270	-0,087
12,7280	-0,087
12,7290	-0,116
12,7300	-0,116
12,7310	-0,116
12,7320	-0,145
12,7330	-0,145
12,7340	-0,145
12,7350	-0,174
12,7360	-0,174
12,7370	-0,203
12,7380	-0,174
12,7390	-0,203
12,7400	-0,232
12,7410	-0,232
12,7420	-0,232
12,7430	-0,261
12,7440	-0,261
12,7450	-0,261
12,7460	-0,261
12,7470	-0,290
12,7480	-0,290
12,7490	-0,319
12,7500	-0,319
12,7510	-0,319
12,7520	-0,319
12,7530	-0,348
12,7540	-0,348
12,7550	-0,348
12,7560	-0,348
12,7570	-0,377
12,7580	-0,377
12,7590	-0,377
12,7600	-0,406
12,7610	-0,406
12,7620	-0,406
12,7630	-0,435
12,7640	-0,435
12,7650	-0,435
12,7660	-0,464
12,7670	-0,464
12,7680	-0,464
12,7690	-0,493
12,7700	-0,493
12,7710	-0,493
12,7720	-0,493
12,7730	-0,493
12,7740	-0,493
12,7750	-0,522
12,7760	-0,522
12,7770	-0,522
12,7780	-0,551
12,7790	-0,551
12,7800	-0,522
12,7810	-0,551
12,7820	-0,551
12,7830	-0,551
12,7840	-0,580
12,7850	-0,580
12,7860	-0,580
12,7870	-0,580
12,7880	-0,580
12,7890	-0,609
12,7900	-0,609
12,7910	-0,609
12,7920	-0,638
12,7930	-0,638
12,7940	-0,638
12,7950	-0,638
12,7960	-0,638
12,7970	-0,638
12,7980	-0,638
12,7990	-0,638
12,8000	-0,638
12,8010	-0,667
12,8020	-0,667
12,8030	-0,667
12,8040	-0,667
12,8050	-0,667
12,8060	-0,667
12,8070	-0,667
12,8080	-0,667
12,8090	-0,667
12,8100	-0,696
12,8110	-0,696
12,8120	-0,696
12,8130	-0,667
12,8140	-0,696
12,8150	-0,696
12,8160	-0,696
12,8170	-0,696
12,8180	-0,696
12,8190	-0,696
12,8200	-0,696
12,8210	-0,696
12,8220	-0,696
12,8230	-0,667
12,8240	-0,696
12,8250	-0,696
12,8260	-0,696
12,8270	-0,696
12,8280	-0,696
12,8290	-0,696
12,8300	-0,696
12,8310	-0,696
12,8320	-0,696
12,8330	-0,696
12,8340	-0,696
12,8350	-0,696
12,8360	-0,696
12,8370	-0,696
12,8380	-0,696
12,8390	-0,696
12,8400	-0,667
12,8410	-0,667
12,8420	-0,667
12,8430	-0,667
12,8440	-0,667
12,8450	-0,667
12,8460	-0,667
12,8470	-0,667
12,8480	-0,667
12,8490	-0,667
12,8500	-0,638
12,8510	-0,638
12,8520	-0,638
12,8530	-0,638
12,8540	-0,638
12,8550	-0,638
12,8560	-0,638
12,8570	-0,609
12,8580	-0,609
12,8590	-0,609
12,8600	-0,609
12,8610	-0,609
12,8620	-0,609
12,8630	-0,580
12,8640	-0,609
12,8650	-0,580
12,8660	-0,580
12,8670	-0,580
12,8680	-0,580
12,8690	-0,551
12,8700	-0,551
12,8710	-0,551
12,8720	-0,551
12,8730	-0,522
12,8740	-0,522
12,8750	-0,522
12,8760	-0,522
12,8770	-0,522
12,8780	-0,493
12,8790	-0,493
12,8800	-0,493
12,8810	-0,493
12,8820	-0,493
12,8830	-0,464
12,8840	-0,464
12,8850	-0,464
12,8860	-0,435
12,8870	-0,435
12,8880	-0,435
12,8890	-0,435
12,8900	-0,406
12,8910	-0,406
12,8920	-0,406
12,8930	-0,377
12,8940	-0,377
12,8950	-0,377
12,8960	-0,348
12,8970	-0,348
12,8980	-0,348
12,8990	-0,348
12,9000	-0,319
12,9010	-0,319
12,9020	-0,290
12,9030	-0,290
12,9040	-0,290
12,9050	-0,290
12,9060	-0,290
12,9070	-0,261
12,9080	-0,261
12,9090	-0,261
12,9100	-0,232
12,9110	-0,232
12,9120	-0,232
12,9130	-0,203
12,9140	-0,203
12,9150	-0,203
12,9160	-0,174
12,9170	-0,174
12,9180	-0,145
12,9190	-0,145
12,9200	-0,145
12,9210	-0,145
12,9220	-0,116
12,9230	-0,116
12,9240	-0,116
12,9250	-0,087
12,9260	-0,087
12,9270	-0,058
12,9280	-0,058
12,9290	-0,058
12,9300	-0,029
12,9310	-0,029
12,9320	0,000
12,9330	0,000
12,9340	0,000
12,9350	0,000
12,9360	0,029
12,9370	0,029
12,9380	0,058
12,9390	0,058
12,9400	0,058
12,9410	0,087
12,9420	0,087
12,9430	0,087
12,9440	0,087
12,9450	0,116
12,9460	0,116
12,9470	0,116
12,9480	0,145
12,9490	0,145
12,9500	0,174
12,9510	0,174
12,9520	0,174
12,9530	0,174
12,9540	0,203
12,9550	0,203
12,9560	0,203
12,9570	0,232
12,9580	0,232
12,9590	0,232
12,9600	0,261
12,9610	0,261
12,9620	0,261
12,9630	0,290
12,9640	0,290
12,9650	0,290
12,9660	0,319
12,9670	0,319
12,9680	0,319
12,9690	0,348
12,9700	0,319
12,9710	0,348
12,9720	0,348
12,9730	0,377
12,9740	0,377
12,9750	0,377
12,9760	0,377
12,9770	0,377
12,9780	0,406
12,9790	0,406
12,9800	0,406
12,9810	0,406
12,9820	0,435
12,9830	0,435
12,9840	0,435
12,9850	0,464
12,9860	0,464
12,9870	0,464
12,9880	0,464
12,9890	0,493
12,9900	0,464
12,9910	0,493
12,9920	0,493
12,9930	0,522
12,9940	0,493
12,9950	0,522
12,9960	0,522
12,9970	0,522
12,9980	0,522
12,9990	0,551
13,0000	0,522
13,0010	0,551
13,0020	0,551
13,0030	0,551
13,0040	0,580
13,0050	0,580
13,0060	0,580
13,0070	0,580
13,0080	0,580
13,0090	0,609
13,0100	0,580
13,0110	0,609
13,0120	0,609
13,0130	0,609
13,0140	0,609
13,0150	0,609
13,0160	0,609
13,0170	0,609
13,0180	0,609
13,0190	0,609
13,0200	0,609
13,0210	0,609
13,0220	0,638
13,0230	0,609
13,0240	0,609
13,0250	0,638
13,0260	0,638
13,0270	0,638
13,0280	0,638
13,0290	0,638
13,0300	0,638
13,0310	0,638
13,0320	0,638
13,0330	0,638
13,0340	0,638
13,0350	0,638
13,0360	0,667
13,0370	0,638
13,0380	0,638
13,0390	0,638
13,0400	0,638
13,0410	0,638
13,0420	0,638
13,0430	0,638
13,0440	0,638
13,0450	0,638
13,0460	0,638
13,0470	0,638
13,0480	0,638
13,0490	0,638
13,0500	0,638
13,0510	0,638
13,0520	0,609
13,0530	0,638
13,0540	0,609
13,0550	0,609
13,0560	0,609
13,0570	0,609
13,0580	0,609
13,0590	0,609
13,0600	0,580
13,0610	0,609
13,0620	0,580
13,0630	0,580
13,0640	0,580
13,0650	0,580
13,0660	0,580
13,0670	0,580
13,0680	0,580
13,0690	0,551
13,0700	0,551
13,0710	0,551
13,0720	0,551
13,0730	0,551
13,0740	0,551
13,0750	0,522
13,0760	0,551
13,0770	0,522
13,0780	0,522
13,0790	0,522
13,0800	0,522
13,0810	0,493
13,0820	0,493
13,0830	0,493
13,0840	0,493
13,0850	0,464
13,0860	0,464
13,0870	0,464
13,0880	0,435
13,0890	0,464
13,0900	0,435
13,0910	0,435
13,0920	0,435
13,0930	0,435
13,0940	0,406
13,0950	0,406
13,0960	0,377
13,0970	0,377
13,0980	0,377
13,0990	0,377
13,1000	0,377
13,1010	0,377
13,1020	0,348
13,1030	0,348
13,1040	0,348
13,1050	0,319
13,1060	0,348
13,1070	0,319
13,1080	0,290
13,1090	0,290
13,1100	0,290
13,1110	0,290
13,1120	0,261
13,1130	0,261
13,1140	0,261
13,1150	0,232
13,1160	0,232
13,1170	0,232
13,1180	0,203
13,1190	0,203
13,1200	0,203
13,1210	0,174
13,1220	0,174
13,1230	0,174
13,1240	0,174
13,1250	0,145
13,1260	0,145
13,1270	0,145
13,1280	0,116
13,1290	0,116
13,1300	0,116
13,1310	0,087
13,1320	0,058
13,1330	0,058
13,1340	0,058
13,1350	0,029
13,1360	0,029
13,1370	0,029
13,1380	0,029
13,1390	0,000
13,1400	0,000
13,1410	0,000
13,1420	0,000
13,1430	-0,029
13,1440	-0,029
13,1450	-0,058
13,1460	-0,058
13,1470	-0,058
13,1480	-0,087
13,1490	-0,087
13,1500	-0,087
13,1510	-0,116
13,1520	-0,116
13,1530	-0,116
13,1540	-0,145
13,1550	-0,145
13,1560	-0,145
13,1570	-0,174
13,1580	-0,174
13,1590	-0,203
13,1600	-0,203
13,1610	-0,203
13,1620	-0,232
13,1630	-0,232
13,1640	-0,232
13,1650	-0,261
13,1660	-0,261
13,1670	-0,261
13,1680	-0,261
13,1690	-0,261
13,1700	-0,261
13,1710	-0,290
13,1720	-0,290
13,1730	-0,319
13,1740	-0,319
13,1750	-0,348
13,1760	-0,319
13,1770	-0,348
13,1780	-0,348
13,1790	-0,348
13,1800	-0,377
13,1810	-0,377
13,1820	-0,406
13,1830	-0,406
13,1840	-0,406
13,1850	-0,406
13,1860	-0,435
13,1870	-0,435
13,1880	-0,435
13,1890	-0,435
13,1900	-0,435
13,1910	-0,464
13,1920	-0,464
13,1930	-0,464
13,1940	-0,464
13,1950	-0,493
13,1960	-0,493
13,1970	-0,493
13,1980	-0,493
13,1990	-0,522
13,2000	-0,522
13,2010	-0,522
13,2020	-0,551
13,2030	-0,522
13,2040	-0,551
13,2050	-0,551
13,2060	-0,551
13,2070	-0,551
13,2080	-0,580
13,2090	-0,580
13,2100	-0,580
13,2110	-0,580
13,2120	-0,580
13,2130	-0,580
13,2140	-0,580
13,2150	-0,609
13,2160	-0,580
13,2170	-0,609
13,2180	-0,609
13,2190	-0,609
13,2200	-0,609
13,2210	-0,638
13,2220	-0,638
13,2230	-0,638
13,2240	-0,638
13,2250	-0,638
13,2260	-0,667
13,2270	-0,638
13,2280	-0,667
13,2290	-0,667
13,2300	-0,667
13,2310	-0,667
13,2320	-0,667
13,2330	-0,667
13,2340	-0,667
13,2350	-0,667
13,2360	-0,667
13,2370	-0,667
13,2380	-0,667
13,2390	-0,667
13,2400	-0,667
13,2410	-0,667
13,2420	-0,667
13,2430	-0,667
13,2440	-0,667
13,2450	-0,667
13,2460	-0,667
13,2470	-0,667
13,2480	-0,696
13,2490	-0,667
13,2500	-0,667
13,2510	-0,696
13,2520	-0,696
13,2530	-0,696
13,2540	-0,667
13,2550	-0,667
13,2560	-0,667
13,2570	-0,667
13,2580	-0,667
13,2590	-0,667
13,2600	-0,667
13,2610	-0,667
13,2620	-0,667
13,2630	-0,667
13,2640	-0,667
13,2650	-0,667
13,2660	-0,667
13,2670	-0,638
13,2680	-0,638
13,2690	-0,667
13,2700	-0,638
13,2710	-0,638
13,2720	-0,638
13,2730	-0,638
13,2740	-0,638
13,2750	-0,638
13,2760	-0,638
13,2770	-0,638
13,2780	-0,609
13,2790	-0,609
13,2800	-0,609
13,2810	-0,609
13,2820	-0,609
13,2830	-0,609
13,2840	-0,580
13,2850	-0,580
13,2860	-0,580
13,2870	-0,580
13,2880	-0,580
13,2890	-0,551
13,2900	-0,551
13,2910	-0,551
13,2920	-0,551
13,2930	-0,551
13,2940	-0,522
13,2950	-0,522
13,2960	-0,522
13,2970	-0,522
13,2980	-0,522
13,2990	-0,493
13,3000	-0,493
13,3010	-0,493
13,3020	-0,493
13,3030	-0,464
13,3040	-0,464
13,3050	-0,464
13,3060	-0,435
13,3070	-0,435
13,3080	-0,435
13,3090	-0,406
13,3100	-0,406
13,3110	-0,406
13,3120	-0,406
13,3130	-0,406
13,3140	-0,377
13,3150	-0,377
13,3160	-0,377
13,3170	-0,377
13,3180	-0,348
13,3190	-0,348
13,3200	-0,348
13,3210	-0,319
13,3220	-0,319
13,3230	-0,319
13,3240	-0,319
13,3250	-0,290
13,3260	-0,290
13,3270	-0,290
13,3280	-0,261
13,3290	-0,261
13,3300	-0,261
13,3310	-0,261
13,3320	-0,232
13,3330	-0,232
13,3340	-0,203
13,3350	-0,203
13,3360	-0,203
13,3370	-0,174
13,3380	-0,174
13,3390	-0,174
13,3400	-0,145
13,3410	-0,174
13,3420	-0,145
13,3430	-0,145
13,3440	-0,116
13,3450	-0,116
13,3460	-0,116
13,3470	-0,087
13,3480	-0,087
13,3490	-0,058
13,3500	-0,058
13,3510	-0,029
13,3520	-0,029
13,3530	-0,029
13,3540	-0,029
13,3550	-0,029
13,3560	0,000
13,3570	0,000
13,3580	0,029
13,3590	0,029
13,3600	0,029
13,3610	0,058
13,3620	0,058
13,3630	0,058
13,3640	0,087
13,3650	0,087
13,3660	0,087
13,3670	0,087
13,3680	0,116
13,3690	0,116
13,3700	0,145
13,3710	0,145
13,3720	0,145
13,3730	0,174
13,3740	0,174
13,3750	0,174
13,3760	0,174
13,3770	0,203
13,3780	0,203
13,3790	0,203
13,3800	0,232
13,3810	0,232
13,3820	0,232
13,3830	0,261
13,3840	0,261
13,3850	0,261
13,3860	0,261
13,3870	0,290
13,3880	0,290
13,3890	0,319
13,3900	0,319
13,3910	0,319
13,3920	0,319
13,3930	0,319
13,3940	0,319
13,3950	0,348
13,3960	0,348
13,3970	0,348
13,3980	0,377
13,3990	0,377
13,4000	0,406
13,4010	0,377
13,4020	0,406
13,4030	0,406
13,4040	0,435
13,4050	0,435
13,4060	0,435
13,4070	0,435
13,4080	0,464
13,4090	0,464
13,4100	0,464
13,4110	0,464
13,4120	0,464
13,4130	0,493
13,4140	0,493
13,4150	0,493
13,4160	0,493
13,4170	0,493
13,4180	0,522
13,4190	0,522
13,4200	0,522
13,4210	0,522
13,4220	0,522
13,4230	0,551
13,4240	0,551
13,4250	0,551
13,4260	0,551
13,4270	0,551
13,4280	0,551
13,4290	0,580
13,4300	0,580
13,4310	0,551
13,4320	0,551
13,4330	0,580
13,4340	0,580
13,4350	0,580
13,4360	0,580
13,4370	0,580
13,4380	0,580
13,4390	0,609
13,4400	0,609
13,4410	0,609
13,4420	0,609
13,4430	0,609
13,4440	0,609
13,4450	0,609
13,4460	0,609
13,4470	0,609
13,4480	0,609
13,4490	0,609
13,4500	0,638
13,4510	0,609
13,4520	0,609
13,4530	0,609
13,4540	0,609
13,4550	0,609
13,4560	0,638
13,4570	0,609
13,4580	0,609
13,4590	0,609
13,4600	0,638
13,4610	0,609
13,4620	0,609
13,4630	0,638
13,4640	0,638
13,4650	0,609
13,4660	0,638
13,4670	0,638
13,4680	0,609
13,4690	0,609
13,4700	0,609
13,4710	0,609
13,4720	0,609
13,4730	0,609
13,4740	0,609
13,4750	0,609
13,4760	0,609
13,4770	0,609
13,4780	0,580
13,4790	0,580
13,4800	0,580
13,4810	0,580
13,4820	0,580
13,4830	0,580
13,4840	0,580
13,4850	0,580
13,4860	0,580
13,4870	0,580
13,4880	0,580
13,4890	0,551
13,4900	0,551
13,4910	0,551
13,4920	0,551
13,4930	0,551
13,4940	0,551
13,4950	0,522
13,4960	0,522
13,4970	0,522
13,4980	0,522
13,4990	0,522
13,5000	0,522
13,5010	0,493
13,5020	0,493
13,5030	0,493
13,5040	0,493
13,5050	0,464
13,5060	0,464
13,5070	0,464
13,5080	0,464
13,5090	0,464
13,5100	0,435
13,5110	0,435
13,5120	0,435
13,5130	0,435
13,5140	0,435
13,5150	0,406
13,5160	0,435
13,5170	0,406
13,5180	0,377
13,5190	0,377
13,5200	0,377
13,5210	0,377
13,5220	0,348
13,5230	0,348
13,5240	0,348
13,5250	0,348
13,5260	0,319
13,5270	0,319
13,5280	0,319
13,5290	0,290
13,5300	0,290
13,5310	0,290
13,5320	0,290
13,5330	0,290
13,5340	0,261
13,5350	0,261
13,5360	0,232
13,5370	0,261
13,5380	0,232
13,5390	0,232
13,5400	0,232
13,5410	0,203
13,5420	0,203
13,5430	0,174
13,5440	0,174
13,5450	0,174
13,5460	0,145
13,5470	0,145
13,5480	0,145
13,5490	0,145
13,5500	0,116
13,5510	0,087
13,5520	0,087
13,5530	0,087
13,5540	0,087
13,5550	0,087
13,5560	0,058
13,5570	0,058
13,5580	0,058
13,5590	0,029
13,5600	0,029
13,5610	0,029
13,5620	0,000
13,5630	0,000
13,5640	0,000
13,5650	-0,029
13,5660	-0,029
13,5670	-0,029
13,5680	-0,058
13,5690	-0,058
13,5700	-0,058
13,5710	-0,087
13,5720	-0,087
13,5730	-0,087
13,5740	-0,116
13,5750	-0,116
13,5760	-0,145
13,5770	-0,145
13,5780	-0,145
13,5790	-0,145
13,5800	-0,174
13,5810	-0,174
13,5820	-0,203
13,5830	-0,203
13,5840	-0,203
13,5850	-0,232
13,5860	-0,232
13,5870	-0,232
13,5880	-0,232
13,5890	-0,261
13,5900	-0,261
13,5910	-0,261
13,5920	-0,290
13,5930	-0,290
13,5940	-0,290
13,5950	-0,319
13,5960	-0,319
13,5970	-0,319
13,5980	-0,348
13,5990	-0,348
13,6000	-0,348
13,6010	-0,348
13,6020	-0,348
13,6030	-0,348
13,6040	-0,377
13,6050	-0,377
13,6060	-0,377
13,6070	-0,377
13,6080	-0,406
13,6090	-0,406
13,6100	-0,435
13,6110	-0,435
13,6120	-0,435
13,6130	-0,435
13,6140	-0,464
13,6150	-0,464
13,6160	-0,464
13,6170	-0,464
13,6180	-0,493
13,6190	-0,493
13,6200	-0,493
13,6210	-0,493
13,6220	-0,493
13,6230	-0,522
13,6240	-0,522
13,6250	-0,522
13,6260	-0,522
13,6270	-0,551
13,6280	-0,522
13,6290	-0,551
13,6300	-0,551
13,6310	-0,551
13,6320	-0,551
13,6330	-0,551
13,6340	-0,580
13,6350	-0,580
13,6360	-0,580
13,6370	-0,580
13,6380	-0,580
13,6390	-0,609
13,6400	-0,609
13,6410	-0,609
13,6420	-0,609
13,6430	-0,609
13,6440	-0,609
13,6450	-0,638
13,6460	-0,638
13,6470	-0,609
13,6480	-0,609
13,6490	-0,638
13,6500	-0,609
13,6510	-0,638
13,6520	-0,638
13,6530	-0,638
13,6540	-0,638
13,6550	-0,638
13,6560	-0,638
13,6570	-0,638
13,6580	-0,638
13,6590	-0,667
13,6600	-0,667
13,6610	-0,667
13,6620	-0,667
13,6630	-0,667
13,6640	-0,667
13,6650	-0,667
13,6660	-0,667
13,6670	-0,667
13,6680	-0,667
13,6690	-0,667
13,6700	-0,667
13,6710	-0,667
13,6720	-0,667
13,6730	-0,638
13,6740	-0,667
13,6750	-0,638
13,6760	-0,667
13,6770	-0,638
13,6780	-0,667
13,6790	-0,638
13,6800	-0,667
13,6810	-0,638
13,6820	-0,638
13,6830	-0,667
13,6840	-0,638
13,6850	-0,638
13,6860	-0,638
13,6870	-0,638
13,6880	-0,638
13,6890	-0,638
13,6900	-0,638
13,6910	-0,638
13,6920	-0,638
13,6930	-0,638
13,6940	-0,638
13,6950	-0,638
13,6960	-0,609
13,6970	-0,609
13,6980	-0,609
13,6990	-0,609
13,7000	-0,609
13,7010	-0,609
13,7020	-0,580
13,7030	-0,580
13,7040	-0,580
13,7050	-0,580
13,7060	-0,580
13,7070	-0,580
13,7080	-0,580
13,7090	-0,551
13,7100	-0,551
13,7110	-0,551
13,7120	-0,551
13,7130	-0,551
13,7140	-0,551
13,7150	-0,522
13,7160	-0,522
13,7170	-0,522
13,7180	-0,522
13,7190	-0,493
13,7200	-0,493
13,7210	-0,493
13,7220	-0,493
13,7230	-0,464
13,7240	-0,464
13,7250	-0,464
13,7260	-0,464
13,7270	-0,464
13,7280	-0,435
13,7290	-0,435
13,7300	-0,435
13,7310	-0,406
13,7320	-0,406
13,7330	-0,406
13,7340	-0,406
13,7350	-0,377
13,7360	-0,377
13,7370	-0,377
13,7380	-0,377
13,7390	-0,377
13,7400	-0,348
13,7410	-0,348
13,7420	-0,348
13,7430	-0,319
13,7440	-0,319
13,7450	-0,319
13,7460	-0,290
13,7470	-0,290
13,7480	-0,290
13,7490	-0,290
13,7500	-0,261
13,7510	-0,261
13,7520	-0,261
13,7530	-0,232
13,7540	-0,232
13,7550	-0,232
13,7560	-0,232
13,7570	-0,203
13,7580	-0,203
13,7590	-0,174
13,7600	-0,174
13,7610	-0,174
13,7620	-0,145
13,7630	-0,145
13,7640	-0,145
13,7650	-0,116
13,7660	-0,116
13,7670	-0,116
13,7680	-0,087
13,7690	-0,087
13,7700	-0,087
13,7710	-0,058
13,7720	-0,058
13,7730	-0,058
13,7740	-0,029
13,7750	-0,029
13,7760	-0,029
13,7770	-0,029
13,7780	0,000
13,7790	0,000
13,7800	0,000
13,7810	0,029
13,7820	0,029
13,7830	0,029
13,7840	0,058
13,7850	0,058
13,7860	0,087
13,7870	0,087
13,7880	0,087
13,7890	0,087
13,7900	0,116
13,7910	0,116
13,7920	0,145
13,7930	0,116
13,7940	0,145
13,7950	0,145
13,7960	0,174
13,7970	0,174
13,7980	0,174
13,7990	0,174
13,8000	0,174
13,8010	0,174
13,8020	0,203
13,8030	0,232
13,8040	0,232
13,8050	0,232
13,8060	0,232
13,8070	0,261
13,8080	0,261
13,8090	0,290
13,8100	0,290
13,8110	0,290
13,8120	0,319
13,8130	0,319
13,8140	0,319
13,8150	0,319
13,8160	0,348
13,8170	0,348
13,8180	0,348
13,8190	0,377
13,8200	0,348
13,8210	0,377
13,8220	0,377
13,8230	0,377
13,8240	0,377
13,8250	0,406
13,8260	0,406
13,8270	0,406
13,8280	0,406
13,8290	0,435
13,8300	0,435
13,8310	0,435
13,8320	0,464
13,8330	0,464
13,8340	0,464
13,8350	0,493
13,8360	0,464
13,8370	0,493
13,8380	0,493
13,8390	0,493
13,8400	0,493
13,8410	0,493
13,8420	0,493
13,8430	0,522
13,8440	0,522
13,8450	0,522
13,8460	0,522
13,8470	0,522
13,8480	0,522
13,8490	0,522
13,8500	0,551
13,8510	0,551
13,8520	0,551
13,8530	0,551
13,8540	0,551
13,8550	0,580
13,8560	0,551
13,8570	0,580
13,8580	0,580
13,8590	0,551
13,8600	0,580
13,8610	0,580
13,8620	0,580
13,8630	0,609
13,8640	0,580
13,8650	0,580
13,8660	0,609
13,8670	0,580
13,8680	0,580
13,8690	0,609
