#multi:
	mass A		mass B		mass C		mass D		mass E		mass F		
t	x	y	x	y	x	y	x	y	x	y	x	y	
2.217	6.097	1.969	4.386	-7.528			4.536	-2.749	2.979	-5.443	4.498	-6.078
2.233	6.128	2.068	4.387	-7.343			4.537	-2.543	2.985	-5.250	4.502	-5.831
2.250	6.157	2.168	4.386	-7.184			4.540	-2.365	2.995	-5.038	4.501	-5.610
2.267	6.182	2.255	4.385	-6.994			4.544	-2.177	2.997	-4.824	4.508	-5.362
2.283	6.200	2.357	4.381	-6.806			4.551	-1.976	3.003	-4.633	4.523	-5.135
2.300	6.219	2.446	4.380	-6.647			4.560	-1.799	3.007	-4.413	4.531	-4.912
2.317	6.230	2.532	4.379	-6.466			4.574	-1.612	3.014	-4.217	4.536	-4.668
2.333	6.246	2.616	4.380	-6.289			4.586	-1.424	3.019	-4.032	4.539	-4.444
2.350	6.259	2.713	4.380	-6.123			4.608	-1.254	3.028	-3.817	4.538	-4.210
2.367	6.269	2.793	4.379	-5.942			4.631	-1.071	3.031	-3.628	4.537	-3.958
2.383	6.288	2.882	4.376	-5.771			4.660	-0.886	3.044	-3.449	4.536	-3.735
2.400	6.320	2.984	4.377	-5.614			4.684	-0.727	3.057	-3.248	4.534	-3.505
2.417	6.348	3.075	4.385	-5.453			4.719	-0.543	3.067	-3.069	4.530	-3.254
2.433	6.381	3.182	4.401	-5.310			4.750	-0.365	3.082	-2.891	4.530	-3.037
2.450	6.414	3.285	4.416	-5.172			4.783	-0.201	3.098	-2.691	4.525	-2.803
2.467	6.440	3.378	4.428	-5.010			4.837	-9.063E-3	3.116	-2.515	4.526	-2.563
2.483	6.468	3.479	4.439	-4.863			4.878	0.162	3.138	-2.340	4.529	-2.351
2.500	6.498	3.582	4.446	-4.716			4.917	0.324	3.158	-2.157	4.529	-2.104
2.517	6.528	3.673	4.450	-4.550			4.975	0.513	3.181	-1.991	4.534	-1.878
2.533	6.558	3.769	4.452	-4.405			5.018	0.684	3.213	-1.821	4.541	-1.670
2.550	6.589	3.865	4.453	-4.255			5.068	0.848	3.257	-1.650	4.547	-1.429
2.567	6.613	3.960	4.454	-4.085			5.122	1.037	3.303	-1.512	4.565	-1.208
2.583	6.636	4.058	4.452	-3.939			5.172	1.206	3.364	-1.361	4.578	-0.999
2.600	6.663	4.156	4.451	-3.783			5.216	1.373	3.441	-1.208	4.601	-0.773
2.617	6.691	4.243	4.446	-3.619			5.273	1.558	3.518	-1.072	4.617	-0.556
2.633	6.718	4.341	4.443	-3.474			5.316	1.721	3.615	-0.922	4.643	-0.352
2.650	6.736	4.434	4.437	-3.308			5.367	1.886	3.721	-0.788	4.673	-0.123
2.667	6.764	4.517	4.429	-3.141			5.416	2.067	3.824	-0.665	4.702	8.328E-2
2.683	6.788	4.620	4.425	-2.999			5.453	2.220	3.940	-0.525	4.740	0.292
2.700	6.812	4.707	4.420	-2.840			5.498	2.387	4.058	-0.390	4.783	0.519
2.717	6.834	4.800	4.420	-2.678			5.543	2.565	4.166	-0.261	4.815	0.719
2.733	6.858	4.895	4.422	-2.540			5.578	2.718	4.291	-0.121	4.864	0.930
2.750	6.884	4.982	4.423	-2.377			5.615	2.881	4.413	1.052E-2	4.909	1.158
2.767	6.903	5.072	4.422	-2.220			5.647	3.051	4.527	0.132	4.948	1.357
2.783	6.928	5.168	4.427	-2.083			5.676	3.193	4.661	0.271	4.999	1.576
2.800	6.952	5.250	4.435	-1.924			5.705	3.355	4.794	0.412	5.047	1.798
2.817	6.972	5.342	4.442	-1.776			5.728	3.513	4.909	0.527	5.085	1.992
2.833	6.998	5.432	4.453	-1.644			5.757	3.651	5.049	0.659	5.138	2.214
2.850	7.014	5.523	4.472	-1.493			5.791	3.817	5.179	0.793	5.179	2.428
2.867	7.035	5.608	4.491	-1.345			5.821	3.978	5.303	0.924	5.218	2.622
2.883	7.058	5.692	4.511	-1.216			5.854	4.118	5.440	1.066	5.262	2.839
2.900	7.077	5.776	4.534	-1.066			5.888	4.279	5.566	1.195	5.305	3.044
2.917	7.096	5.853	4.563	-0.932			5.921	4.433	5.685	1.315	5.338	3.234
2.933	7.111	5.947	4.590	-0.802			5.952	4.575	5.818	1.457	5.376	3.444
2.950			4.625	-0.654			5.984	4.738	5.937	1.584	5.405	3.640
2.967			4.660	-0.522			6.015	4.887	6.049	1.712	5.429	3.829
2.983			4.699	-0.396			6.047	5.036	6.174	1.853	5.464	4.032
3.000			4.747	-0.249			6.081	5.194	6.280	1.974	5.498	4.221
3.017			4.791	-0.123			6.112	5.339	6.382	2.093	5.531	4.410
3.033			4.837	7.666E-3			6.142	5.478	6.499	2.222	5.561	4.618
3.050			4.896	0.152			6.173	5.641	6.599	2.337	5.588	4.794
3.067			4.948	0.275			6.197	5.783	6.712	2.462	5.622	4.990
3.083			5.002	0.406			6.225	5.929	6.829	2.587	5.653	5.189
3.100			5.060	0.550			6.257	6.084	6.931	2.699	5.683	5.366
3.117			5.119	0.671			6.282	6.222	7.047	2.828	5.718	5.559
3.133			5.176	0.804			6.309	6.363	7.164	2.959	5.750	5.760
3.150			5.234	0.941			6.334	6.517	7.267	3.072	5.778	5.930
3.167			5.290	1.061			6.358	6.645	7.381	3.193	5.811	6.122
3.183			5.346	1.201			6.385	6.791	7.494	3.320	5.842	6.313
3.200			5.403	1.341			6.414	6.939	7.596	3.431	5.866	6.490
3.217			5.454	1.462					7.702	3.551	5.896	6.689
3.233			5.506	1.595					7.820	3.681	5.927	6.877
3.250			5.556	1.726					7.915	3.794	5.952	7.040
3.267			5.599	1.846					8.029	3.912	5.983	7.240
3.283			5.649	1.983					8.140	4.030	6.013	7.417
3.300			5.693	2.109					8.237	4.140	6.036	7.582
3.317			5.732	2.226					8.344	4.261	6.069	7.773
3.333			5.769	2.354					8.458	4.385	6.096	7.952
3.350			5.802	2.477					8.551	4.482	6.122	8.122
3.367			5.835	2.589					8.662	4.606		
3.383			5.866	2.712					8.768	4.724		
3.400			5.894	2.828					8.861	4.831		
3.417			5.916	2.940					8.974	4.947		
3.433			5.936	3.059					9.075	5.060		
3.450			5.956	3.171					9.170	5.162		
3.467			5.975	3.281					9.278	5.280		
3.483			6.006	3.402					9.380	5.390		
3.500			6.036	3.512					9.472	5.494		
3.517			6.068	3.629					9.578	5.610		
3.533			6.102	3.760								
3.550			6.136	3.871								
3.567			6.166	3.992								
3.583			6.199	4.112								
3.600			6.229	4.225								
